Time sum_kwh count_users mean_kwh day hour prediction
37835 17727.678 6240 2.8409740384615385 378 17 2.868807532051282
37837 16357.027 6240 2.62131842948718 378 18 2.7024059294871794
37839 15474.624 6240 2.4799076923076924 378 19 2.579970032051282
37841 14557.865 6240 2.332991185897436 378 20 2.435839423076923
37843 13209.885 6240 2.11696875 378 21 2.260144871794872
37845 11576.039 6240 1.8551344551282047 378 22 1.9781347756410257
37847 10332.437 6240 1.6558392628205127 378 23 1.7889346153846153
37901 7913.317 6239 1.2683630389485494 379 0 1.3888152243589744
37903 6529.213 6239 1.0465159480686006 379 1 1.1340052884615386
37905 5814.728 6239 0.9319967943580704 379 2 0.990641185897436
37907 5579.019 6239 0.8942168616765508 379 3 0.9327323717948718
37909 5367.712 6239 0.8603481327135758 379 4 0.9048732371794872
37911 5490.848 6239 0.8800846289469466 379 5 0.9022833333333332
37913 6397.624 6239 1.0254245872736014 379 6 1.0236032051282051
37915 9069.613 6239 1.4536965859913449 379 7 1.344096314102564
37917 10739.458 6239 1.7213428434043918 379 8 1.6062490384615382
37919 11836.828 6239 1.897231607629428 379 9 1.952598557692308
37921 12533.532 6239 2.0089007853822727 379 10 2.185045512820513
37923 12683.493 6239 2.032936848853983 379 11 2.2694233974358973
37925 12908.002 6239 2.068921622054817 379 12 2.328717307692308
37927 12350.06 6239 1.979493508575092 379 13 2.257940865384615
37929 12076.789 6239 1.935693059785222 379 14 2.21384375
37931 12579.581 6239 2.016281615643533 379 15 2.2977717948717946
37933 14485.213 6239 2.321720307741625 379 16 2.5558753205128206
37935 16780.609 6239 2.689631190895977 379 17 2.8492815705128205
37937 16186.441 6239 2.594396698188812 379 18 2.726423717948718
37939 15166.596 6239 2.430933803494149 379 19 2.5387972756410258
37941 14056.753 6239 2.2530458406795963 379 20 2.3424528846153843
37943 13260.792 6239 2.1254675428754606 379 21 2.198412019230769
37945 11518.048 6239 1.8461368809104024 379 22 1.9377306089743591
37947 10158.837 6239 1.6282796922583749 379 23 1.7956043269230768
38001 7909.846 6236 1.2684166132135986 380 0 1.3999633012820514
38003 6400.732 6236 1.0264162924951892 380 1 1.1384926282051282
38005 5741.726000000001 6236 0.9207386144964722 380 2 1.0082786858974355
38007 5414.915 6236 0.8683314624759461 380 3 0.9507296474358974
38009 5321.271000000001 6236 0.8533147851186659 380 4 0.9256123397435896
38011 5340.421 6236 0.8563856638871071 380 5 0.93640641025641
38013 6156.924 6236 0.9873194355355998 380 6 1.054502403846154
38015 8807.578 6236 1.4123762026940343 380 7 1.3732637820512823
38017 10841.268 6236 1.7384971135343168 380 8 1.6382995192307692
38019 11889.171 6236 1.9065380051314944 380 9 2.0099177884615385
38021 12202.26 6236 1.956744708146248 380 10 2.243498557692308
38023 12137.098 6236 1.946295381654907 380 11 2.3062389423076923
38025 12504.699 6236 2.005243585631815 380 12 2.337644230769231
38027 11958.909 6236 1.917721135343169 380 13 2.2877625
38029 11914.655 6236 1.9106245991019888 380 14 2.19841875
38031 12845.676 6236 2.0599223861449647 380 15 2.2137825320512823
38033 14627.033 6236 2.345579377806286 380 16 2.440066826923077
38035 16250.047 6236 2.605844611930725 380 17 2.780439903846154
38037 15609.199 6236 2.5030787363694675 380 18 2.700118108974359
38039 14738.236 6236 2.36341180243746 380 19 2.556029647435897
38041 13756.389 6236 2.2059635984605515 380 20 2.341350801282051
38043 12833.45 6236 2.057961834509301 380 21 2.2095703525641026
38045 11301.998 6236 1.812379409878127 380 22 1.983311858974359
38047 10784.915 6236 1.7294603912764597 380 23 1.9394769230769229
38101 8822.89 6236 1.4148316228351507 381 0 1.6000711538461538
38103 7045.697 6236 1.1298423669018602 381 1 1.287185576923077
38105 5942.062 6236 0.9528643361128928 381 2 1.1019657051282052
